"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2019","290.90","304.40","307.90","290.60","1.12M","-4.43%"
"10/01/2019","304.40","297.50","311.90","296.90","592.78K","2.87%"
"09/01/2019","295.90","289.10","299.30","286.40","282.64K","2.28%"
"08/01/2019","289.30","297.90","298.30","288.90","284.70K","-2.98%"
"07/01/2019","298.20","316.00","317.00","297.60","341.85K","-4.76%"
"06/01/2019","313.10","321.30","327.30","308.10","1.10M","-2.55%"
"05/01/2019","321.30","295.80","328.10","280.70","753.65K","8.55%"
"04/01/2019","296.00","306.10","312.30","295.20","1.12M","-3.43%"
"03/01/2019","306.50","302.30","316.50","296.20","566.54K","1.39%"
"02/01/2019","302.30","310.00","317.40","301.80","1.16M","-2.48%"
"01/01/2019","310.00","306.20","320.10","305.80","600.63K","1.24%"
"12/01/2018","306.20","315.40","316.40","302.60","332.50K","-0.68%"
"11/01/2018","308.30","306.40","316.30","300.70","918.07K","0.62%"
"10/01/2018","306.40","305.30","327.30","302.00","698.23K","0.33%"
"09/01/2018","305.40","304.90","316.60","298.80","212.79K","0.56%"
"08/01/2018","303.70","340.80","340.80","300.00","293.15K","-10.99%"
"07/01/2018","341.20","332.70","342.60","325.10","295.37K","2.52%"
"06/01/2018","332.80","375.30","377.40","320.30","1.16M","-11.32%"
"05/01/2018","375.30","392.10","404.90","373.00","586.92K","-4.28%"
"04/01/2018","392.10","384.00","401.60","363.70","1.18M","2.11%"
"03/01/2018","384.00","392.00","399.70","358.00","652.15K","-2.59%"
"02/01/2018","394.20","337.80","398.00","326.20","1.24M","16.70%"
"01/01/2018","337.80","313.60","348.50","308.00","872.70K","8.06%"
"12/01/2017","312.60","324.00","346.10","311.20","393.29K","-3.67%"
"11/01/2017","324.50","312.00","329.80","309.60","969.93K","4.07%"
"10/01/2017","311.80","310.60","328.10","305.80","562.97K","0.10%"
"09/01/2017","311.50","294.30","317.00","292.80","243.22K","5.84%"
"08/01/2017","294.30","315.50","315.50","291.80","261.94K","-7.63%"
"07/01/2017","318.60","307.60","338.80","307.60","244.41K","4.66%"
"06/01/2017","304.40","298.10","309.80","292.00","1.13M","2.11%"
"05/01/2017","298.10","314.20","317.90","296.60","633.92K","-4.36%"
"04/01/2017","311.70","308.20","319.40","305.50","960.77K","1.07%"
"03/01/2017","308.40","332.00","335.70","307.20","660.63K","-7.28%"
"02/01/2017","332.60","334.30","350.30","328.40","932.32K","-0.60%"
"01/01/2017","334.60","313.00","353.70","307.00","615.33K","6.94%"
